              ╭------------------------------------╮
         Name | Smash 'n' Grab                     |
            🔊 | 8                                  |
            ➜ | 4                                  |
            📷 | 2                                  |
            👊 | 2                                  |
            🔓 | 0                                  |
            🔍 | 1                                  |
            💰 | 2                                  |
      Good at | Subdue, Cameras, Looting           |
        Lacks | Multi-moves, locks                 |
    Seasoning | Loot, Ideas                        |
  Noise Level | Medium                             |
              ╰------------------------------------╯
              ╭------------------------------------╮
         Name | Pilfer                             |
          Qty | 2                                  |
        Level | 2                                  |
         Root | Smash 'n' Grab                     |
     1-action | Punch                              |
 1-subactions | 👊🔊🔊➜                               |
     2-action | Unplug                             |
 2-subactions | 📷📷🔊➜                               |
     3-action | Key In                             |
 3-subactions | 🔍🔓🔊                                |
     4-action | Flip                               |
 4-subactions | 👊🔊➜                                |
     5-action | Disable                            |
 5-subactions | 📷🔊➜                                |
     6-action | Grab                               |
 6-subactions | 💰🔊                                 |
            1 | Punch                              |
              | 👊🔊🔊➜                               |
            2 | Unplug                             |
              | 📷📷🔊➜                               |
            3 | Key In                             |
              | 🔍🔓🔊                                |
            4 | Flip                               |
              | 👊🔊➜                                |
            5 | Disable                            |
              | 📷🔊➜                                |
            6 | Grab                               |
              | 💰🔊                                 |
        Rolls | Punch                              |
              | 👊🔊🔊➜/Unplug                        |
              | 📷📷🔊➜/Key In                        |
              | 🔍🔓🔊/Flip                           |
              | 👊🔊➜/Disable                        |
              | 📷🔊➜/Grab                           |
              | 💰🔊                                 |
     Upgrade1 | (none)                             |
Upgrade1Rolls |                                    |
     Upgrade2 | (none)                             |
Upgrade2Rolls |                                    |
            💡 | 0                                  |
            🔊 | 7                                  |
            ➜ | 4                                  |
            📷 | 3                                  |
            👊 | 2                                  |
            🔓 | 1                                  |
            🔍 | 1                                  |
            💰 | 1                                  |
      Good at | Subdue, Cameras, Locks             |
        Lacks | Multi-moves, ideas                 |
    Seasoning | Loot, Locks                        |
  Noise Level | Low                                |
              ╰------------------------------------╯
              ╭------------------------------------╮
         Name | Pilfer                             |
          Qty | 2                                  |
        Level | 2                                  |
         Root | Smash 'n' Grab                     |
     1-action | Punch                              |
 1-subactions | 👊🔊🔊➜                               |
     2-action | Unplug                             |
 2-subactions | 📷📷🔊➜                               |
     3-action | Key In                             |
 3-subactions | 🔍🔓🔊                                |
     4-action | Flip                               |
 4-subactions | 👊🔊➜                                |
     5-action | Disable                            |
 5-subactions | 📷🔊➜                                |
     6-action | Grab                               |
 6-subactions | 💰🔊                                 |
            1 | Punch                              |
              | 👊🔊🔊➜                               |
            2 | Unplug                             |
              | 📷📷🔊➜                               |
            3 | Key In                             |
              | 🔍🔓🔊                                |
            4 | Flip                               |
              | 👊🔊➜                                |
            5 | Disable                            |
              | 📷🔊➜                                |
            6 | Grab                               |
              | 💰🔊                                 |
        Rolls | Punch                              |
              | 👊🔊🔊➜/Unplug                        |
              | 📷📷🔊➜/Key In                        |
              | 🔍🔓🔊/Flip                           |
              | 👊🔊➜/Disable                        |
              | 📷🔊➜/Grab                           |
              | 💰🔊                                 |
     Upgrade1 | (none)                             |
Upgrade1Rolls |                                    |
     Upgrade2 | (none)                             |
Upgrade2Rolls |                                    |
            💡 | 0                                  |
            🔊 | 7                                  |
            ➜ | 4                                  |
            📷 | 3                                  |
            👊 | 2                                  |
            🔓 | 1                                  |
            🔍 | 1                                  |
            💰 | 1                                  |
      Good at | Subdue, Cameras, Locks             |
        Lacks | Multi-moves, ideas                 |
    Seasoning | Loot, Locks                        |
  Noise Level | Low                                |
              ╰------------------------------------╯
              ╭------------------------------------╮
         Name | Ninja                              |
          Qty | 2                                  |
        Level | 2                                  |
         Root | Hurry                              |
     1-action | Dash                               |
 1-subactions | 🔊➜➜                                |
     2-action | Pick                               |
 2-subactions | 🔓🔊                                 |
     3-action | Sleeper Hold                       |
 3-subactions | 👊➜                                 |
     4-action | Observe                            |
 4-subactions | 💡🔍🔊                                |
     5-action | Sprint                             |
 5-subactions | 🔊🔊➜➜➜                              |
     6-action | Examine                            |
 6-subactions | 💡💡💡🔊                               |
            1 | Dash                               |
              | 🔊➜➜                                |
            2 | Pick                               |
              | 🔓🔊                                 |
            3 | Sleeper Hold                       |
              | 👊➜                                 |
            4 | Observe                            |
              | 💡🔍🔊                                |
            5 | Sprint                             |
              | 🔊🔊➜➜➜                              |
            6 | Examine                            |
              | 💡💡💡🔊                               |
        Rolls | Dash                               |
              | 🔊➜➜/Pick                           |
              | 🔓🔊/Sleeper Hold                    |
              | 👊➜/Observe                         |
              | 💡🔍🔊/Sprint                         |
              | 🔊🔊➜➜➜/Examine                      |
              | 💡💡💡🔊                               |
     Upgrade1 | (none)                             |
Upgrade1Rolls |                                    |
     Upgrade2 | (none)                             |
Upgrade2Rolls |                                    |
            💡 | 4                                  |
            🔊 | 6                                  |
            ➜ | 6                                  |
            📷 | 0                                  |
            👊 | 1                                  |
            🔓 | 1                                  |
            🔍 | 1                                  |
            💰 | 0                                  |
      Good at | Multi-moves, Ideas, Subdue         |
        Lacks | Cameras                            |
    Seasoning | Locks                              |
  Noise Level | Low                                |
              ╰------------------------------------╯
              ╭------------------------------------╮
         Name | Ninja                              |
          Qty | 2                                  |
        Level | 2                                  |
         Root | Hurry                              |
     1-action | Dash                               |
 1-subactions | 🔊➜➜                                |
     2-action | Pick                               |
 2-subactions | 🔓🔊                                 |
     3-action | Sleeper Hold                       |
 3-subactions | 👊➜                                 |
     4-action | Observe                            |
 4-subactions | 💡🔍🔊                                |
     5-action | Sprint                             |
 5-subactions | 🔊🔊➜➜➜                              |
     6-action | Examine                            |
 6-subactions | 💡💡💡🔊                               |
            1 | Dash                               |
              | 🔊➜➜                                |
            2 | Pick                               |
              | 🔓🔊                                 |
            3 | Sleeper Hold                       |
              | 👊➜                                 |
            4 | Observe                            |
              | 💡🔍🔊                                |
            5 | Sprint                             |
              | 🔊🔊➜➜➜                              |
            6 | Examine                            |
              | 💡💡💡🔊                               |
        Rolls | Dash                               |
              | 🔊➜➜/Pick                           |
              | 🔓🔊/Sleeper Hold                    |
              | 👊➜/Observe                         |
              | 💡🔍🔊/Sprint                         |
              | 🔊🔊➜➜➜/Examine                      |
              | 💡💡💡🔊                               |
     Upgrade1 | (none)                             |
Upgrade1Rolls |                                    |
     Upgrade2 | (none)                             |
Upgrade2Rolls |                                    |
            💡 | 4                                  |
            🔊 | 6                                  |
            ➜ | 6                                  |
            📷 | 0                                  |
            👊 | 1                                  |
            🔓 | 1                                  |
            🔍 | 1                                  |
            💰 | 0                                  |
      Good at | Multi-moves, Ideas, Subdue         |
        Lacks | Cameras                            |
    Seasoning | Locks                              |
  Noise Level | Low                                |
              ╰------------------------------------╯
              ╭------------------------------------╮
         Name | Prowl                              |
          Qty | 2                                  |
        Level | 2                                  |
         Root | Hurry                              |
     1-action | Dash                               |
 1-subactions | 🔊➜➜                                |
     2-action | Pick                               |
 2-subactions | 🔓🔊                                 |
     3-action | Sneak                              |
 3-subactions | 📷🔊➜➜                               |
     4-action | Study                              |
 4-subactions | 💡💡                                 |
     5-action | Sprint                             |
 5-subactions | 🔊🔊➜➜➜                              |
     6-action | Examine                            |
 6-subactions | 💡💡💡🔊                               |
            1 | Dash                               |
              | 🔊➜➜                                |
            2 | Pick                               |
              | 🔓🔊                                 |
            3 | Sneak                              |
              | 📷🔊➜➜                               |
            4 | Study                              |
              | 💡💡                                 |
            5 | Sprint                             |
              | 🔊🔊➜➜➜                              |
            6 | Examine                            |
              | 💡💡💡🔊                               |
        Rolls | Dash                               |
              | 🔊➜➜/Pick                           |
              | 🔓🔊/Sneak                           |
              | 📷🔊➜➜/Study                         |
              | 💡💡/Sprint                          |
              | 🔊🔊➜➜➜/Examine                      |
              | 💡💡💡🔊                               |
     Upgrade1 | (none)                             |
Upgrade1Rolls |                                    |
     Upgrade2 | (none)                             |
Upgrade2Rolls |                                    |
            💡 | 5                                  |
            🔊 | 6                                  |
            ➜ | 7                                  |
            📷 | 1                                  |
            👊 | 0                                  |
            🔓 | 1                                  |
            🔍 | 0                                  |
            💰 | 0                                  |
      Good at | Multi-moves, Ideas, Camera         |
        Lacks | Subdue                             |
    Seasoning | Locks                              |
  Noise Level | Low                                |
              ╰------------------------------------╯
              ╭------------------------------------╮
         Name | Prowl                              |
          Qty | 2                                  |
        Level | 2                                  |
         Root | Hurry                              |
     1-action | Dash                               |
 1-subactions | 🔊➜➜                                |
     2-action | Pick                               |
 2-subactions | 🔓🔊                                 |
     3-action | Sneak                              |
 3-subactions | 📷🔊➜➜                               |
     4-action | Study                              |
 4-subactions | 💡💡                                 |
     5-action | Sprint                             |
 5-subactions | 🔊🔊➜➜➜                              |
     6-action | Examine                            |
 6-subactions | 💡💡💡🔊                               |
            1 | Dash                               |
              | 🔊➜➜                                |
            2 | Pick                               |
              | 🔓🔊                                 |
            3 | Sneak                              |
              | 📷🔊➜➜                               |
            4 | Study                              |
              | 💡💡                                 |
            5 | Sprint                             |
              | 🔊🔊➜➜➜                              |
            6 | Examine                            |
              | 💡💡💡🔊                               |
        Rolls | Dash                               |
              | 🔊➜➜/Pick                           |
              | 🔓🔊/Sneak                           |
              | 📷🔊➜➜/Study                         |
              | 💡💡/Sprint                          |
              | 🔊🔊➜➜➜/Examine                      |
              | 💡💡💡🔊                               |
     Upgrade1 | (none)                             |
Upgrade1Rolls |                                    |
     Upgrade2 | (none)                             |
Upgrade2Rolls |                                    |
            💡 | 5                                  |
            🔊 | 6                                  |
            ➜ | 7                                  |
            📷 | 1                                  |
            👊 | 0                                  |
            🔓 | 1                                  |
            🔍 | 0                                  |
            💰 | 0                                  |
      Good at | Multi-moves, Ideas, Camera         |
        Lacks | Subdue                             |
    Seasoning | Locks                              |
  Noise Level | Low                                |
              ╰------------------------------------╯
              ╭------------------------------------╮
         Name | Concoct                            |
          Qty | 2                                  |
        Level | 2                                  |
         Root | Wing It                            |
     1-action | Study                              |
 1-subactions | 💡💡                                 |
     2-action | Spy Stuff                          |
 2-subactions | 🔓👊🔊                                |
     3-action | Short                              |
 3-subactions | 🔓📷🔊🔊➜                              |
     4-action | Zap                                |
 4-subactions | 👊📷🔊🔊➜                              |
     5-action | Grab                               |
 5-subactions | 💰🔊                                 |
     6-action | Run                                |
 6-subactions | 🔊🔊➜➜                               |
            1 | Study                              |
              | 💡💡                                 |
            2 | Spy Stuff                          |
              | 🔓👊🔊                                |
            3 | Short                              |
              | 🔓📷🔊🔊➜                              |
            4 | Zap                                |
              | 👊📷🔊🔊➜                              |
            5 | Grab                               |
              | 💰🔊                                 |
            6 | Run                                |
              | 🔊🔊➜➜                               |
        Rolls | Study                              |
              | 💡💡/Spy Stuff                       |
              | 🔓👊🔊/Short                          |
              | 🔓📷🔊🔊➜/Zap                          |
              | 👊📷🔊🔊➜/Grab                         |
              | 💰🔊/Run                             |
              | 🔊🔊➜➜                               |
     Upgrade1 | (none)                             |
Upgrade1Rolls |                                    |
     Upgrade2 | (none)                             |
Upgrade2Rolls |                                    |
            💡 | 2                                  |
            🔊 | 8                                  |
            ➜ | 4                                  |
            📷 | 2                                  |
            👊 | 2                                  |
            🔓 | 2                                  |
            🔍 | 0                                  |
            💰 | 1                                  |
      Good at | Camera, Subdue, Lock, Ideas        |
        Lacks | Reveal                             |
    Seasoning | Multi-move, Loot                   |
  Noise Level | Medium                             |
              ╰------------------------------------╯
              ╭------------------------------------╮
         Name | Concoct                            |
          Qty | 2                                  |
        Level | 2                                  |
         Root | Wing It                            |
     1-action | Study                              |
 1-subactions | 💡💡                                 |
     2-action | Spy Stuff                          |
 2-subactions | 🔓👊🔊                                |
     3-action | Short                              |
 3-subactions | 🔓📷🔊🔊➜                              |
     4-action | Zap                                |
 4-subactions | 👊📷🔊🔊➜                              |
     5-action | Grab                               |
 5-subactions | 💰🔊                                 |
     6-action | Run                                |
 6-subactions | 🔊🔊➜➜                               |
            1 | Study                              |
              | 💡💡                                 |
            2 | Spy Stuff                          |
              | 🔓👊🔊                                |
            3 | Short                              |
              | 🔓📷🔊🔊➜                              |
            4 | Zap                                |
              | 👊📷🔊🔊➜                              |
            5 | Grab                               |
              | 💰🔊                                 |
            6 | Run                                |
              | 🔊🔊➜➜                               |
        Rolls | Study                              |
              | 💡💡/Spy Stuff                       |
              | 🔓👊🔊/Short                          |
              | 🔓📷🔊🔊➜/Zap                          |
              | 👊📷🔊🔊➜/Grab                         |
              | 💰🔊/Run                             |
              | 🔊🔊➜➜                               |
     Upgrade1 | (none)                             |
Upgrade1Rolls |                                    |
     Upgrade2 | (none)                             |
Upgrade2Rolls |                                    |
            💡 | 2                                  |
            🔊 | 8                                  |
            ➜ | 4                                  |
            📷 | 2                                  |
            👊 | 2                                  |
            🔓 | 2                                  |
            🔍 | 0                                  |
            💰 | 1                                  |
      Good at | Camera, Subdue, Lock, Ideas        |
        Lacks | Reveal                             |
    Seasoning | Multi-move, Loot                   |
  Noise Level | Medium                             |
              ╰------------------------------------╯
              ╭------------------------------------╮
         Name | Improvise                          |
          Qty | 2                                  |
        Level | 2                                  |
         Root | Wing It                            |
     1-action | Redirect                           |
 1-subactions | 🔓👊📷🔊🔊                              |
     2-action | Strongarm                          |
 2-subactions | 🔓👊🔊🔊➜                              |
     3-action | Short                              |
 3-subactions | 🔓📷🔊🔊➜                              |
     4-action | Zap                                |
 4-subactions | 👊📷🔊🔊➜                              |
     5-action | Grab                               |
 5-subactions | 💰🔊                                 |
     6-action | Dash                               |
 6-subactions | 🔊➜➜                                |
            1 | Redirect                           |
              | 🔓👊📷🔊🔊                              |
            2 | Strongarm                          |
              | 🔓👊🔊🔊➜                              |
            3 | Short                              |
              | 🔓📷🔊🔊➜                              |
            4 | Zap                                |
              | 👊📷🔊🔊➜                              |
            5 | Grab                               |
              | 💰🔊                                 |
            6 | Dash                               |
              | 🔊➜➜                                |
        Rolls | Redirect                           |
              | 🔓👊📷🔊🔊/Strongarm                    |
              | 🔓👊🔊🔊➜/Short                        |
              | 🔓📷🔊🔊➜/Zap                          |
              | 👊📷🔊🔊➜/Grab                         |
              | 💰🔊/Dash                            |
              | 🔊➜➜                                |
     Upgrade1 | (none)                             |
Upgrade1Rolls |                                    |
     Upgrade2 | (none)                             |
Upgrade2Rolls |                                    |
            💡 | 0                                  |
            🔊 | 10                                 |
            ➜ | 5                                  |
            📷 | 3                                  |
            👊 | 3                                  |
            🔓 | 3                                  |
            🔍 | 0                                  |
            💰 | 1                                  |
      Good at | Camera, Subdue, Lock,              |
        Lacks | Reveal, Ideas                      |
    Seasoning | Multi-move, Loot                   |
  Noise Level | Medium                             |
              ╰------------------------------------╯
              ╭------------------------------------╮
         Name | Improvise                          |
          Qty | 2                                  |
        Level | 2                                  |
         Root | Wing It                            |
     1-action | Redirect                           |
 1-subactions | 🔓👊📷🔊🔊                              |
     2-action | Strongarm                          |
 2-subactions | 🔓👊🔊🔊➜                              |
     3-action | Short                              |
 3-subactions | 🔓📷🔊🔊➜                              |
     4-action | Zap                                |
 4-subactions | 👊📷🔊🔊➜                              |
     5-action | Grab                               |
 5-subactions | 💰🔊                                 |
     6-action | Dash                               |
 6-subactions | 🔊➜➜                                |
            1 | Redirect                           |
              | 🔓👊📷🔊🔊                              |
            2 | Strongarm                          |
              | 🔓👊🔊🔊➜                              |
            3 | Short                              |
              | 🔓📷🔊🔊➜                              |
            4 | Zap                                |
              | 👊📷🔊🔊➜                              |
            5 | Grab                               |
              | 💰🔊                                 |
            6 | Dash                               |
              | 🔊➜➜                                |
        Rolls | Redirect                           |
              | 🔓👊📷🔊🔊/Strongarm                    |
              | 🔓👊🔊🔊➜/Short                        |
              | 🔓📷🔊🔊➜/Zap                          |
              | 👊📷🔊🔊➜/Grab                         |
              | 💰🔊/Dash                            |
              | 🔊➜➜                                |
     Upgrade1 | (none)                             |
Upgrade1Rolls |                                    |
     Upgrade2 | (none)                             |
Upgrade2Rolls |                                    |
            💡 | 0                                  |
            🔊 | 10                                 |
            ➜ | 5                                  |
            📷 | 3                                  |
            👊 | 3                                  |
            🔓 | 3                                  |
            🔍 | 0                                  |
            💰 | 1                                  |
      Good at | Camera, Subdue, Lock,              |
        Lacks | Reveal, Ideas                      |
    Seasoning | Multi-move, Loot                   |
  Noise Level | Medium                             |
              ╰------------------------------------╯
              ╭------------------------------------╮
         Name | Assault                            |
          Qty | 2                                  |
        Level | 2                                  |
         Root | Hit 'n' Run                        |
     1-action | Bash                               |
 1-subactions | 👊👊🔊                                |
     2-action | Run                                |
 2-subactions | 🔊🔊➜➜                               |
     3-action | Rampage                            |
 3-subactions | 👊👊🔊🔊🔊➜➜                            |
     4-action | Run                                |
 4-subactions | 🔊🔊➜➜                               |
     5-action | Strongarm                          |
 5-subactions | 🔓👊🔊🔊➜                              |
     6-action | Observe                            |
 6-subactions | 💡🔍🔊                                |
            1 | Bash                               |
              | 👊👊🔊                                |
            2 | Run                                |
              | 🔊🔊➜➜                               |
            3 | Rampage                            |
              | 👊👊🔊🔊🔊➜➜                            |
            4 | Run                                |
              | 🔊🔊➜➜                               |
            5 | Strongarm                          |
              | 🔓👊🔊🔊➜                              |
            6 | Observe                            |
              | 💡🔍🔊                                |
        Rolls | Bash                               |
              | 👊👊🔊/Run                            |
              | 🔊🔊➜➜/Rampage                       |
              | 👊👊🔊🔊🔊➜➜/Run                        |
              | 🔊🔊➜➜/Strongarm                     |
              | 🔓👊🔊🔊➜/Observe                      |
              | 💡🔍🔊                                |
     Upgrade1 | (none)                             |
Upgrade1Rolls |                                    |
     Upgrade2 | (none)                             |
Upgrade2Rolls |                                    |
            💡 | 1                                  |
            🔊 | 11                                 |
            ➜ | 7                                  |
            📷 | 0                                  |
            👊 | 5                                  |
            🔓 | 1                                  |
            🔍 | 1                                  |
            💰 | 0                                  |
      Good at | Subdue, Multi-moves                |
        Lacks | Cameras                            |
    Seasoning | Ideas, Locks                       |
  Noise Level | Medium                             |
              ╰------------------------------------╯
              ╭------------------------------------╮
         Name | Assault                            |
          Qty | 2                                  |
        Level | 2                                  |
         Root | Hit 'n' Run                        |
     1-action | Bash                               |
 1-subactions | 👊👊🔊                                |
     2-action | Run                                |
 2-subactions | 🔊🔊➜➜                               |
     3-action | Rampage                            |
 3-subactions | 👊👊🔊🔊🔊➜➜                            |
     4-action | Run                                |
 4-subactions | 🔊🔊➜➜                               |
     5-action | Strongarm                          |
 5-subactions | 🔓👊🔊🔊➜                              |
     6-action | Observe                            |
 6-subactions | 💡🔍🔊                                |
            1 | Bash                               |
              | 👊👊🔊                                |
            2 | Run                                |
              | 🔊🔊➜➜                               |
            3 | Rampage                            |
              | 👊👊🔊🔊🔊➜➜                            |
            4 | Run                                |
              | 🔊🔊➜➜                               |
            5 | Strongarm                          |
              | 🔓👊🔊🔊➜                              |
            6 | Observe                            |
              | 💡🔍🔊                                |
        Rolls | Bash                               |
              | 👊👊🔊/Run                            |
              | 🔊🔊➜➜/Rampage                       |
              | 👊👊🔊🔊🔊➜➜/Run                        |
              | 🔊🔊➜➜/Strongarm                     |
              | 🔓👊🔊🔊➜/Observe                      |
              | 💡🔍🔊                                |
     Upgrade1 | (none)                             |
Upgrade1Rolls |                                    |
     Upgrade2 | (none)                             |
Upgrade2Rolls |                                    |
            💡 | 1                                  |
            🔊 | 11                                 |
            ➜ | 7                                  |
            📷 | 0                                  |
            👊 | 5                                  |
            🔓 | 1                                  |
            🔍 | 1                                  |
            💰 | 0                                  |
      Good at | Subdue, Multi-moves                |
        Lacks | Cameras                            |
    Seasoning | Ideas, Locks                       |
  Noise Level | Medium                             |
              ╰------------------------------------╯
              ╭------------------------------------╮
         Name | Blast                              |
          Qty | 2                                  |
        Level | 2                                  |
         Root | Hit 'n' Run                        |
     1-action | Bash                               |
 1-subactions | 👊👊🔊                                |
     2-action | Run                                |
 2-subactions | 🔊🔊➜➜                               |
     3-action | Detonate                           |
 3-subactions | 🔓👊👊📷🔊⚠                             |
     4-action | Run                                |
 4-subactions | 🔊🔊➜➜                               |
     5-action | Bash                               |
 5-subactions | 👊👊🔊                                |
     6-action | Observe                            |
 6-subactions | 💡🔍🔊                                |
            1 | Bash                               |
              | 👊👊🔊                                |
            2 | Run                                |
              | 🔊🔊➜➜                               |
            3 | Detonate                           |
              | 🔓👊👊📷🔊⚠                             |
            4 | Run                                |
              | 🔊🔊➜➜                               |
            5 | Bash                               |
              | 👊👊🔊                                |
            6 | Observe                            |
              | 💡🔍🔊                                |
        Rolls | Bash                               |
              | 👊👊🔊/Run                            |
              | 🔊🔊➜➜/Detonate                      |
              | 🔓👊👊📷🔊⚠/Run                         |
              | 🔊🔊➜➜/Bash                          |
              | 👊👊🔊/Observe                        |
              | 💡🔍🔊                                |
     Upgrade1 | (none)                             |
Upgrade1Rolls |                                    |
     Upgrade2 | (none)                             |
Upgrade2Rolls |                                    |
            💡 | 1                                  |
            🔊 | 8                                  |
            ➜ | 4                                  |
            📷 | 1                                  |
            👊 | 6                                  |
            🔓 | 1                                  |
            🔍 | 1                                  |
            💰 | 0                                  |
      Good at | Subdue, Multi-moves                |
        Lacks |                                    |
    Seasoning | Ideas, Cameras, Locks              |
  Noise Level | High (with Alert)                  |
              ╰------------------------------------╯
              ╭------------------------------------╮
         Name | Blast                              |
          Qty | 2                                  |
        Level | 2                                  |
         Root | Hit 'n' Run                        |
     1-action | Bash                               |
 1-subactions | 👊👊🔊                                |
     2-action | Run                                |
 2-subactions | 🔊🔊➜➜                               |
     3-action | Detonate                           |
 3-subactions | 🔓👊👊📷🔊⚠                             |
     4-action | Run                                |
 4-subactions | 🔊🔊➜➜                               |
     5-action | Bash                               |
 5-subactions | 👊👊🔊                                |
     6-action | Observe                            |
 6-subactions | 💡🔍🔊                                |
            1 | Bash                               |
              | 👊👊🔊                                |
            2 | Run                                |
              | 🔊🔊➜➜                               |
            3 | Detonate                           |
              | 🔓👊👊📷🔊⚠                             |
            4 | Run                                |
              | 🔊🔊➜➜                               |
            5 | Bash                               |
              | 👊👊🔊                                |
            6 | Observe                            |
              | 💡🔍🔊                                |
        Rolls | Bash                               |
              | 👊👊🔊/Run                            |
              | 🔊🔊➜➜/Detonate                      |
              | 🔓👊👊📷🔊⚠/Run                         |
              | 🔊🔊➜➜/Bash                          |
              | 👊👊🔊/Observe                        |
              | 💡🔍🔊                                |
     Upgrade1 | (none)                             |
Upgrade1Rolls |                                    |
     Upgrade2 | (none)                             |
Upgrade2Rolls |                                    |
            💡 | 1                                  |
            🔊 | 8                                  |
            ➜ | 4                                  |
            📷 | 1                                  |
            👊 | 6                                  |
            🔓 | 1                                  |
            🔍 | 1                                  |
            💰 | 0                                  |
      Good at | Subdue, Multi-moves                |
        Lacks |                                    |
    Seasoning | Ideas, Cameras, Locks              |
  Noise Level | High (with Alert)                  |
              ╰------------------------------------╯
              ╭------------------------------------╮
         Name | Extract                            |
          Qty | 2                                  |
        Level | 2                                  |
         Root | Bypass                             |
     1-action | Rake                               |
 1-subactions | 🔓🔓🔊➜                               |
     2-action | Recon                              |
 2-subactions | 💡💡🔊🔍                               |
     3-action | Swipe                              |
 3-subactions | 🔓💰🔊                                |
     4-action | Sprint                             |
 4-subactions | 🔊🔊➜➜➜                              |
     5-action | Dash                               |
 5-subactions | 🔊➜➜                                |
     6-action | Pick                               |
 6-subactions | 🔓🔊                                 |
            1 | Rake                               |
              | 🔓🔓🔊➜                               |
            2 | Recon                              |
              | 💡💡🔊🔍                               |
            3 | Swipe                              |
              | 🔓💰🔊                                |
            4 | Sprint                             |
              | 🔊🔊➜➜➜                              |
            5 | Dash                               |
              | 🔊➜➜                                |
            6 | Pick                               |
              | 🔓🔊                                 |
        Rolls | Rake                               |
              | 🔓🔓🔊➜/Recon                         |
              | 💡💡🔊🔍/Swipe                         |
              | 🔓💰🔊/Sprint                         |
              | 🔊🔊➜➜➜/Dash                         |
              | 🔊➜➜/Pick                           |
              | 🔓🔊                                 |
     Upgrade1 | (none)                             |
Upgrade1Rolls |                                    |
     Upgrade2 | (none)                             |
Upgrade2Rolls |                                    |
            💡 | 2                                  |
            🔊 | 7                                  |
            ➜ | 6                                  |
            📷 | 0                                  |
            👊 | 0                                  |
            🔓 | 4                                  |
            🔍 | 1                                  |
            💰 | 1                                  |
      Good at | Locks, Multi-moves                 |
        Lacks | Cameras, Subdue                    |
    Seasoning | Ideas, Loot, Reveal                |
  Noise Level | Medium                             |
              ╰------------------------------------╯
              ╭------------------------------------╮
         Name | Extract                            |
          Qty | 2                                  |
        Level | 2                                  |
         Root | Bypass                             |
     1-action | Rake                               |
 1-subactions | 🔓🔓🔊➜                               |
     2-action | Recon                              |
 2-subactions | 💡💡🔊🔍                               |
     3-action | Swipe                              |
 3-subactions | 🔓💰🔊                                |
     4-action | Sprint                             |
 4-subactions | 🔊🔊➜➜➜                              |
     5-action | Dash                               |
 5-subactions | 🔊➜➜                                |
     6-action | Pick                               |
 6-subactions | 🔓🔊                                 |
            1 | Rake                               |
              | 🔓🔓🔊➜                               |
            2 | Recon                              |
              | 💡💡🔊🔍                               |
            3 | Swipe                              |
              | 🔓💰🔊                                |
            4 | Sprint                             |
              | 🔊🔊➜➜➜                              |
            5 | Dash                               |
              | 🔊➜➜                                |
            6 | Pick                               |
              | 🔓🔊                                 |
        Rolls | Rake                               |
              | 🔓🔓🔊➜/Recon                         |
              | 💡💡🔊🔍/Swipe                         |
              | 🔓💰🔊/Sprint                         |
              | 🔊🔊➜➜➜/Dash                         |
              | 🔊➜➜/Pick                           |
              | 🔓🔊                                 |
     Upgrade1 | (none)                             |
Upgrade1Rolls |                                    |
     Upgrade2 | (none)                             |
Upgrade2Rolls |                                    |
            💡 | 2                                  |
            🔊 | 7                                  |
            ➜ | 6                                  |
            📷 | 0                                  |
            👊 | 0                                  |
            🔓 | 4                                  |
            🔍 | 1                                  |
            💰 | 1                                  |
      Good at | Locks, Multi-moves                 |
        Lacks | Cameras, Subdue                    |
    Seasoning | Ideas, Loot, Reveal                |
  Noise Level | Medium                             |
              ╰------------------------------------╯
              ╭------------------------------------╮
         Name | Circumvent                         |
          Qty | 2                                  |
        Level | 2                                  |
         Root | Bypass                             |
     1-action | Rake                               |
 1-subactions | 🔓🔓🔊➜                               |
     2-action | Study                              |
 2-subactions | 💡💡                                 |
     3-action | Spy Stuff                          |
 3-subactions | 🔓👊🔊                                |
     4-action | Sprint                             |
 4-subactions | 🔊🔊➜➜➜                              |
     5-action | Dash                               |
 5-subactions | 🔊➜➜                                |
     6-action | Short                              |
 6-subactions | 🔓📷🔊🔊➜                              |
            1 | Rake                               |
              | 🔓🔓🔊➜                               |
            2 | Study                              |
              | 💡💡                                 |
            3 | Spy Stuff                          |
              | 🔓👊🔊                                |
            4 | Sprint                             |
              | 🔊🔊➜➜➜                              |
            5 | Dash                               |
              | 🔊➜➜                                |
            6 | Short                              |
              | 🔓📷🔊🔊➜                              |
        Rolls | Rake                               |
              | 🔓🔓🔊➜/Study                         |
              | 💡💡/Spy Stuff                       |
              | 🔓👊🔊/Sprint                         |
              | 🔊🔊➜➜➜/Dash                         |
              | 🔊➜➜/Short                          |
              | 🔓📷🔊🔊➜                              |
     Upgrade1 | (none)                             |
Upgrade1Rolls |                                    |
     Upgrade2 | (none)                             |
Upgrade2Rolls |                                    |
            💡 | 2                                  |
            🔊 | 7                                  |
            ➜ | 7                                  |
            📷 | 1                                  |
            👊 | 1                                  |
            🔓 | 4                                  |
            🔍 | 0                                  |
            💰 | 0                                  |
      Good at | Locks, Multi-moves                 |
        Lacks | Loot, Reveal                       |
    Seasoning | Ideas, Cameras, Subdue             |
  Noise Level | Medium                             |
              ╰------------------------------------╯
              ╭------------------------------------╮
         Name | Circumvent                         |
          Qty | 2                                  |
        Level | 2                                  |
         Root | Bypass                             |
     1-action | Rake                               |
 1-subactions | 🔓🔓🔊➜                               |
